running pipelined_tree w/ n=2 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
32768                  13.02
65536                  15.50
131072                 19.98
262144                 29.07
524288                 47.16
1048576                83.36
 
running circ_vring w/ n=3 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.96
2                       4.89
4                       4.81
8                       4.81
16                      4.82
32                      4.82
64                      5.07
128                     5.70
256                     9.20
512                     9.77
1024                   10.10
2048                   11.01
4096                   12.34
8192                   20.06
16384                  35.21
32768                  44.25
65536                  67.94
131072                113.36
262144                199.97
524288                378.51
1048576               724.10
 
running circ_vring w/ n=3 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.20
2                       4.75
4                       4.78
8                       5.17
16                      4.68
32                      4.70
64                      4.83
128                     5.22
256                     8.83
512                     9.63
1024                   10.39
2048                   11.77
4096                   14.23
8192                   23.04
16384                  45.72
32768                  61.74
65536                 109.04
131072                193.29
262144                361.06
524288                690.07
1048576              1335.17
 
running circ_vring w/ n=3 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.35
2                       6.23
4                       6.19
8                       6.21
16                      6.13
32                      6.22
64                      6.33
128                     6.75
256                    10.47
512                    11.43
1024                   12.59
2048                   14.63
4096                   18.69
8192                   30.77
16384                  64.79
32768                  92.45
65536                 163.74
131072                286.52
262144                558.20
524288               1062.63
1048576              2051.78
 
running circ_vring w/ n=4 and ppn=1

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.60
2                       3.46
4                       3.51
8                       3.47
16                      3.47
32                      3.49
64                      3.53
128                     3.86
256                     7.82
512                     7.94
1024                    8.19
2048                    8.55
4096                    8.66
8192                   14.47
16384                  15.21
32768                  16.54
65536                  19.44
131072                 25.02
262144                 35.81
524288                 57.47
1048576               100.97
 
running circ_vring w/ n=4 and ppn=12

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.10
2                       4.89
4                       4.89
8                       4.87
16                      4.88
32                      4.88
64                      5.05
128                     5.70
256                     9.05
512                     9.46
1024                    9.93
2048                   11.09
4096                   12.89
8192                   20.59
16384                  36.34
32768                  47.73
65536                  73.48
131072                126.38
262144                225.63
524288                432.57
1048576               821.10
 
running circ_vring w/ n=4 and ppn=48

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.69
2                       6.42
4                       6.39
8                       6.35
16                      6.34
32                      5.71
64                      6.00
128                     6.44
256                     9.73
512                    10.27
1024                   10.97
2048                   12.43
4096                   14.71
8192                   23.86
16384                  48.48
32768                  65.62
65536                 115.36
131072                211.55
262144                405.14
524288                785.35
1048576              1542.95
 
running circ_vring w/ n=4 and ppn=96

# OSU MPI Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.05
2                       6.77
4                       6.80
8                       6.77
16                      6.80
32                      6.82
64                      6.88
128                     7.45
256                    10.87
512                    11.94
1024                   13.25
2048                   15.22
4096                   18.92
8192                   31.01
16384                  66.57
32768                  94.89
65536                 172.28
131072                309.28
262144                593.11
524288               1141.23
1048576              2253.20
 
