running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
1048576               442.78
 
running ring w/ n=11 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      41.91
8                      46.26
16                     51.88
32                     58.72
64                     58.75
128                    63.05
256                    63.18
512                    63.58
1024                   63.80
2048                   70.63
4096                   93.06
8192                   92.29
16384                  96.88
32768                 101.49
65536                 168.17
131072                194.37
262144                248.21
524288                395.84
1048576               663.59
 
running recursive_doubling w/ n=11 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.11
8                      13.88
16                     13.92
32                     13.99
64                     14.19
128                    15.38
256                    19.78
512                    20.86
1024                   21.84
2048                   23.37
4096                   25.30
8192                   43.63
16384                  53.26
32768                  71.55
65536                 102.92
131072                147.79
262144                212.33
524288                387.06
1048576               744.49
 
running reduce_scatter_allgather w/ n=11 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.36
8                      13.17
16                     13.19
32                     22.77
64                     22.90
128                    23.51
256                    26.33
512                    28.40
1024                   31.35
2048                   34.46
4096                   35.37
8192                   45.28
16384                  52.76
32768                  68.79
65536                  92.57
131072                128.98
262144                191.26
524288                276.81
1048576               487.92
 
running circ_vring w/ n=11 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.40
8                      14.14
16                     14.16
32                     14.18
64                     14.29
128                    15.33
256                    19.60
512                    20.19
1024                   21.43
2048                   22.83
4096                   24.33
8192                   40.80
16384                  49.74
32768                  64.17
65536                  94.53
131072                195.99
262144                334.19
524288                690.72
1048576              1333.51
 
running circ_rrs_ag w/ n=11 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      16.54
8                      21.24
16                     24.84
32                     27.66
64                     28.52
128                    28.66
256                    29.04
512                    32.74
1024                   35.97
2048                   36.38
4096                   38.73
8192                   41.50
16384                  56.62
32768                  65.49
65536                  97.22
131072                140.38
262144                245.81
524288                532.26
1048576               988.81
 
running circ_rs_ag w/ n=11 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.74
8                      21.85
16                     25.11
32                     26.87
64                     28.14
128                    28.29
256                    28.79
512                    31.16
1024                   33.22
2048                   37.76
4096                   38.30
8192                   40.44
16384                  55.59
32768                  70.63
65536                  82.78
131072                104.69
262144                145.65
524288                207.97
1048576               315.59
 
running ring w/ n=11 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1351.44
8                    1384.94
16                   1382.53
32                   1389.24
64                   1398.90
128                  1435.14
256                  1514.27
512                  1641.60
1024                 1884.05
2048                 2377.42
4096                 2380.11
8192                 2379.99
16384                2379.52
32768                2381.27
65536                2401.36
131072               4527.75
262144               4772.86
524288               4917.03
1048576              5320.81
 
running recursive_doubling w/ n=11 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.55
8                      25.58
16                     25.69
32                     25.60
64                     25.87
128                    27.43
256                    31.55
512                    33.58
1024                   37.98
2048                   40.32
4096                   45.40
8192                   70.18
16384                 127.01
32768                 194.36
65536                 380.24
131072                658.93
262144               1227.69
524288               2417.45
1048576              4273.79
 
running reduce_scatter_allgather w/ n=11 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.65
8                      25.64
16                     25.54
32                     25.40
64                     25.61
128                    27.20
256                    31.39
512                    33.39
1024                   38.05
2048                   54.71
4096                   60.31
8192                   62.50
16384                  72.02
32768                 119.40
65536                 230.43
131072                460.20
262144                440.67
524288                755.20
1048576              1209.55
 
running circ_vring w/ n=11 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.60
8                      29.23
16                     29.57
32                     29.31
64                     29.44
128                    31.66
256                    44.19
512                    46.77
1024                   46.88
2048                   50.23
4096                   55.64
8192                  100.75
16384                 157.42
32768                 233.50
65536                 384.13
131072                856.16
262144               1941.96
524288               4309.94
1048576              9217.86
 
running circ_rrs_ag w/ n=11 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      43.28
8                      44.58
16                     47.94
32                     51.49
64                     53.84
128                    59.02
256                    71.28
512                    85.96
1024                  149.18
2048                  284.09
4096                  175.18
8192                  159.18
16384                 172.43
32768                 188.81
65536                 214.48
131072                475.61
262144               1022.01
524288               2451.77
1048576              5021.76
 
running circ_rs_ag w/ n=11 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      41.36
8                      43.19
16                     45.86
32                     48.34
64                     50.01
128                    53.02
256                    60.90
512                    74.87
1024                   96.76
2048                  158.63
4096                  154.46
8192                   89.84
16384                 104.96
32768                 142.84
65536                 148.39
131072                198.82
262144                318.77
524288                522.17
1048576               945.64
 
running ring w/ n=11 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    3044.46
8                    3075.21
16                   3060.52
32                   3065.66
64                   3072.49
128                  3087.16
256                  3148.71
512                  3307.77
1024                 3652.80
2048                 4191.09
4096                 5288.36
8192                 5300.48
16384                5286.24
32768                5320.07
65536                5297.10
131072               5326.25
262144              10006.17
524288              10336.68
1048576             11173.76
 
running recursive_doubling w/ n=11 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.41
8                      31.66
16                     31.37
32                     31.10
64                     31.11
128                    32.78
256                    37.26
512                    42.64
1024                   47.39
2048                   60.95
4096                   62.33
8192                  105.41
16384                 222.96
32768                 317.10
65536                 781.37
131072               1157.10
262144               2186.82
524288               4392.21
1048576              8341.65
 
running reduce_scatter_allgather w/ n=11 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.08
8                      31.31
16                     31.09
32                     30.94
64                     30.94
128                    32.71
256                    37.19
512                    41.24
1024                   47.03
2048                   61.21
4096                   70.85
8192                   80.07
16384                  93.34
32768                 120.85
65536                 172.88
131072                277.46
262144                400.91
524288                728.08
1048576              1330.00
 
running circ_vring w/ n=11 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      37.89
8                      36.27
16                     36.00
32                     36.71
64                     37.49
128                    44.36
256                    54.81
512                    55.87
1024                   62.87
2048                   64.74
4096                   78.90
8192                  131.74
16384                 231.72
32768                 364.35
65536                 653.79
131072               1953.72
262144               4183.14
524288               9619.59
1048576             20880.50
 
running circ_rrs_ag w/ n=11 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      55.24
8                      57.20
16                     61.15
32                     65.24
64                     68.44
128                    76.46
256                    88.50
512                   125.42
1024                  319.54
2048                  471.82
4096                  566.80
8192                  337.74
16384                 365.01
32768                 423.39
65536                 452.57
131072               1054.26
262144               2263.18
524288               5634.15
1048576             11793.58
 
running circ_rs_ag w/ n=11 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      50.54
8                      52.44
16                     55.92
32                     59.17
64                     60.54
128                    65.47
256                    72.82
512                    99.14
1024                  197.99
2048                  339.51
4096                  405.79
8192                  141.30
16384                 143.47
32768                 155.54
65536                 212.50
131072                329.71
262144                612.18
524288               1125.32
1048576              2083.94
 
running ring w/ n=12 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     379.67
8                     379.73
16                    380.30
32                    388.12
64                    405.55
128                   438.29
256                   489.35
512                   599.27
1024                  599.02
2048                  599.05
4096                  598.86
8192                  620.17
16384                 635.89
32768                1206.65
65536                1239.06
131072               1285.59
262144               1365.45
524288               1447.23
1048576              2519.99
 
running recursive_doubling w/ n=12 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.18
8                      20.39
16                     20.36
32                     20.35
64                     20.44
128                    22.21
256                    27.35
512                    29.34
1024                   30.99
2048                   33.15
4096                   36.69
8192                   58.66
16384                  84.35
32768                 116.08
65536                 203.11
131072                324.99
262144                593.87
524288               1187.09
1048576              2231.31
 
running reduce_scatter_allgather w/ n=12 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.82
8                      20.29
16                     20.28
32                     20.28
64                     20.46
128                    22.28
256                    27.40
512                    40.70
1024                   41.28
2048                   45.38
4096                   51.05
8192                   62.14
16384                  74.89
32768                  84.33
65536                 177.43
131072                322.70
262144                352.91
524288                518.52
1048576               898.62
 
running circ_vring w/ n=12 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.44
8                      22.94
16                     22.97
32                     22.89
64                     23.06
128                    24.55
256                    37.72
512                    36.65
1024                   38.58
2048                   41.00
4096                   43.75
8192                   77.10
16384                 104.98
32768                 151.90
65536                 219.86
131072                488.39
262144                999.81
524288               2121.31
1048576              4254.50
 
running circ_rrs_ag w/ n=12 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.85
8                      35.13
16                     38.07
32                     41.05
64                     44.10
128                    49.98
256                    56.44
512                    67.21
1024                   71.91
2048                  104.55
4096                   84.76
8192                   85.21
16384                  96.72
32768                 114.04
65536                 130.74
131072                224.18
262144                437.78
524288               1039.30
1048576              2028.77
 
running circ_rs_ag w/ n=12 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.36
8                      34.73
16                     36.88
32                     39.18
64                     41.52
128                    45.82
256                    48.29
512                    50.61
1024                   56.18
2048                   92.67
4096                   71.41
8192                   69.29
16384                  81.71
