running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
8192                   67.39
16384                  92.29
32768                 131.72
65536                 189.90
131072                503.23
262144                992.08
524288               2161.31
1048576              4263.63
 
running circ_rrs_ag w/ n=7 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.35
8                      30.41
16                     33.05
32                     36.06
64                     38.79
128                    43.69
256                    49.03
512                    54.87
1024                   59.85
2048                   79.56
4096                   69.71
8192                   71.31
16384                  85.65
32768                  92.91
65536                 110.76
131072                211.40
262144                441.59
524288               1005.78
1048576              2006.64
 
running circ_rs_ag w/ n=7 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.37
8                      30.02
16                     32.29
32                     35.21
64                     36.89
128                    39.45
256                    41.67
512                    46.30
1024                   53.97
2048                   69.96
4096                   58.43
8192                   62.32
16384                  76.50
32768                  84.65
65536                 101.73
131072                137.70
262144                182.58
524288                271.03
1048576               428.10
 
running ring w/ n=7 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.86
8                      30.51
16                     35.28
32                     35.41
64                     39.26
128                    40.60
256                    40.97
512                    41.17
1024                   44.83
2048                   54.99
4096                   55.61
8192                   58.37
16384                  68.81
32768                  97.86
65536                 108.58
131072                132.36
262144                226.92
524288                321.97
1048576               541.86
 
running recursive_doubling w/ n=7 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      11.43
8                      11.16
16                     11.17
32                     11.18
64                     11.21
128                    12.46
256                    16.00
512                    16.64
1024                   17.52
2048                   18.57
4096                   19.81
8192                   33.82
16384                  42.41
32768                  56.61
65536                  82.34
131072                122.20
262144                165.21
524288                302.08
1048576               608.71
 
running reduce_scatter_allgather w/ n=7 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      11.53
8                      11.25
16                     17.57
32                     17.68
64                     17.67
128                    18.43
256                    21.22
512                    24.05
1024                   25.41
2048                   28.02
4096                   26.92
8192                   33.98
16384                  43.81
32768                  57.18
65536                  73.25
131072                104.46
262144                155.32
524288                231.13
1048576               451.61
 
running circ_vring w/ n=7 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      11.10
8                      10.70
16                     10.68
32                     10.72
64                     10.70
128                    11.68
256                    14.46
512                    14.79
1024                   15.45
2048                   16.72
4096                   18.29
8192                   29.61
16384                  37.05
32768                  50.20
65536                  77.23
131072                169.17
262144                298.55
524288                644.04
1048576              1230.94
 
running circ_rrs_ag w/ n=7 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.18
8                      15.41
16                     18.07
32                     20.80
64                     20.83
128                    21.01
256                    21.70
512                    24.37
1024                   25.59
2048                   28.73
4096                   27.86
8192                   29.80
16384                  43.98
32768                  54.66
65536                  65.57
131072                110.88
262144                229.58
524288                501.60
1048576               952.66
 
running circ_rs_ag w/ n=7 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.00
8                      15.39
16                     17.61
32                     21.47
64                     21.54
128                    21.61
256                    22.33
512                    23.54
1024                   26.68
2048                   29.68
4096                   28.92
8192                   31.17
16384                  43.53
32768                  54.01
65536                  64.25
131072                 85.71
262144                127.10
524288                190.52
1048576               292.20
 
running ring w/ n=7 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     849.20
8                     866.83
16                    868.91
32                    870.55
64                    879.23
128                   919.01
256                   990.19
512                  1120.90
1024                 1347.77
2048                 1348.06
4096                 1349.31
8192                 1422.76
16384                1467.23
32768                1496.80
65536                2831.41
131072               2885.37
262144               2994.62
524288               3168.80
1048576              3426.36
 
running recursive_doubling w/ n=7 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.83
8                      22.62
16                     22.40
32                     22.90
64                     22.84
128                    24.32
256                    28.47
512                    30.62
1024                   32.35
2048                   35.12
4096                   40.76
8192                   64.56
16384                 109.58
32768                 162.59
65536                 297.31
131072                515.39
262144               1003.96
524288               2134.58
1048576              3833.27
 
running reduce_scatter_allgather w/ n=7 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.44
8                      22.44
16                     22.80
32                     22.70
64                     23.03
128                    24.35
256                    28.71
512                    30.61
1024                   47.19
2048                   46.14
4096                   50.11
8192                   57.20
16384                  87.79
32768                 125.20
65536                 173.79
131072                308.30
262144                497.41
524288                800.83
1048576               996.77
 
running circ_vring w/ n=7 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.16
8                      25.90
16                     26.24
32                     26.25
64                     26.36
128                    27.77
256                    40.60
512                    39.59
1024                   41.00
2048                   44.76
4096                   49.96
8192                   88.91
16384                 138.46
32768                 207.32
65536                 285.25
131072               1034.79
262144               2340.60
524288               5159.54
1048576             11064.58
 
running circ_rrs_ag w/ n=7 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      37.97
8                      39.37
16                     41.89
32                     44.30
64                     47.30
128                    52.94
256                    62.16
512                    75.17
1024                  102.17
2048                  209.71
4096                  124.28
8192                  120.20
16384                 133.31
32768                 150.66
65536                 187.53
131072                438.29
262144                968.00
524288               2371.78
1048576              4933.49
 
running circ_rs_ag w/ n=7 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.85
8                      38.01
16                     41.12
32                     42.80
64                     44.87
128                    47.96
256                    53.37
512                    61.23
1024                   89.54
2048                  126.37
4096                   93.54
8192                   77.74
16384                  92.26
32768                 109.92
65536                 146.40
131072                196.30
262144                297.84
524288                518.81
1048576               870.51
 
running ring w/ n=7 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1883.27
8                    1933.23
16                   1910.61
32                   1914.40
64                   1925.02
128                  1958.71
256                  2066.20
512                  2227.51
1024                 2464.35
2048                 2961.35
4096                 2960.75
8192                 2964.36
16384                3145.34
32768                3256.20
65536                3321.98
131072               6262.68
262144               6458.60
524288               7136.40
1048576              7634.99
 
running recursive_doubling w/ n=7 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.42
8                      28.40
16                     28.35
32                     28.04
64                     28.41
128                    30.21
256                    34.63
512                    39.34
1024                   41.47
2048                   48.40
4096                   54.12
8192                   89.88
16384                 192.74
32768                 306.77
65536                 608.31
131072                928.80
262144               1971.26
524288               3734.58
1048576              7030.52
 
running reduce_scatter_allgather w/ n=7 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.19
8                      28.83
16                     28.56
32                     28.53
64                     28.67
128                    30.35
256                    34.84
512                    38.92
1024                   43.01
2048                   59.36
4096                   67.18
8192                   81.27
16384                 109.58
32768                 131.96
65536                 274.27
131072                333.66
262144                556.86
524288               1012.54
1048576              1803.37
 
running circ_vring w/ n=7 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      32.81
8                      33.51
16                     31.95
32                     32.00
64                     32.24
128                    34.94
256                    46.24
512                    47.97
1024                   49.61
2048                   54.93
4096                   71.77
8192                  114.80
16384                 224.89
32768                 335.04
65536                 519.38
131072               2417.77
262144               4929.20
524288              10598.61
1048576             22222.14
 
running circ_rrs_ag w/ n=7 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      48.02
8                      49.22
16                     52.53
32                     56.10
64                     59.68
128                    66.50
256                    77.08
512                   106.29
1024                  198.54
2048                  426.27
4096                  304.01
8192                  231.53
16384                 233.09
32768                 284.82
65536                 325.79
131072                916.36
262144               2154.64
524288               5402.44
1048576             11593.06
 
running circ_rs_ag w/ n=7 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      46.21
8                      46.92
16                     49.42
32                     52.02
64                     54.75
128                    58.21
256                    63.53
512                    77.57
1024                  151.22
2048                  206.58
4096                  219.36
8192                  106.24
16384                 119.26
32768                 154.71
65536                 231.36
131072                328.86
262144                573.88
524288               1068.61
1048576              2176.48
 
running ring w/ n=8 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     249.01
8                     252.46
16                    254.00
32                    261.94
64                    279.11
128                   308.12
256                   357.79
512                   358.34
1024                  398.15
2048                  398.68
4096                  415.40
8192                  417.38
16384                 424.06
32768                 802.89
65536                 830.17
131072                872.10
262144                934.05
524288               1583.58
1048576              1827.64
 
running recursive_doubling w/ n=8 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.41
8                      17.94
16                     17.92
32                     17.90
64                     18.18
128                    19.75
256                    24.54
512                    25.78
1024                   27.24
2048                   29.26
4096                   32.81
8192                   52.90
16384                  76.04
32768                 105.03
65536                 190.38
131072                307.92
262144                572.86
524288               1122.24
1048576              2101.71
 
running reduce_scatter_allgather w/ n=8 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      18.37
8                      17.88
16                     17.91
32                     17.98
64                     18.08
128                    19.73
256                    33.98
512                    34.79
1024                   36.90
2048                   42.27
4096                   44.72
8192                   52.80
16384                  69.88
32768                 126.83
65536                 124.59
131072                257.53
262144                292.47
524288                538.05
1048576               914.78
 
running circ_vring w/ n=8 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.88
8                      19.32
16                     19.24
32                     19.22
64                     19.45
128                    20.85
256                    26.49
512                    28.66
1024                   30.63
2048                   32.08
4096                   36.15
8192                   60.89
16384                  89.72
32768                 129.43
65536                 174.29
131072                583.65
262144               1176.57
524288               2506.76
1048576              5039.14
 
running circ_rrs_ag w/ n=8 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.24
8                      29.69
16                     32.07
32                     34.75
64                     37.23
128                    43.00
256                    48.21
512                    54.47
1024                   60.23
2048                   81.73
4096                   61.40
8192                   67.28
16384                  76.26
32768                  90.01
65536                 112.80
131072                205.19
262144                440.10
524288               1041.90
1048576              2037.18
 
running circ_rs_ag w/ n=8 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.61
8                      28.93
16                     31.22
32                     33.30
64                     34.85
128                    37.86
256                    39.37
512                    43.96
1024                   50.23
2048                   72.54
4096                   53.61
8192                   57.14
16384                  66.70
32768                  80.39
65536                 100.41
131072                128.57
262144                173.23
524288                257.47
1048576               421.27
 
running ring w/ n=8 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.87
8                      32.91
16                     38.01
32                     44.31
64                     44.35
128                    44.29
256                    44.44
512                    44.36
1024                   49.09
2048                   63.15
4096                   62.53
8192                   64.70
16384                  68.89
32768                  72.28
65536                 119.30
131072                136.99
262144                186.63
524288                314.49
1048576               537.50
 
running recursive_doubling w/ n=8 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.31
8                       9.89
16                      9.89
32                      9.88
64                      9.99
128                    10.67
256                    13.60
512                    14.03
1024                   15.01
2048                   15.97
4096                   17.39
8192                   28.26
16384                  36.10
32768                  49.53
65536                  74.34
131072                105.52
262144                150.95
524288                282.65
1048576               553.57
 
running reduce_scatter_allgather w/ n=8 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.16
8                      10.13
16                     10.12
32                     20.07
64                     20.08
128                    20.15
256                    20.44
512                    24.24
1024                   27.24
2048                   28.02
4096                   29.03
8192                   30.49
16384                  38.68
32768                  49.05
65536                  65.73
131072                 88.71
262144                129.75
524288                193.24
1048576               308.87
 
running circ_vring w/ n=8 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      10.44
8                      10.57
16                     10.44
32                     10.45
64                     10.53
128                    11.38
256                    14.35
512                    14.84
1024                   15.54
2048                   16.90
4096                   19.12
8192                   30.34
16384                  38.92
32768                  52.65
65536                  80.77
131072                164.78
262144                311.10
524288                634.70
1048576              1303.65
 
running circ_rrs_ag w/ n=8 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.99
8                      15.54
16                     18.59
32                     20.25
64                     20.38
128                    20.55
256                    21.17
512                    24.10
1024                   25.34
2048                   28.29
4096                   28.71
8192                   30.81
16384                  37.52
32768                  47.59
65536                  65.63
131072                111.27
262144                203.04
524288                489.70
1048576               933.31
 
running circ_rs_ag w/ n=8 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.54
8                      15.23
16                     18.10
32                     20.79
64                     20.79
128                    20.93
256                    21.39
512                    22.72
1024                   24.64
2048                   28.61
4096                   29.87
8192                   29.51
16384                  36.40
32768                  46.49
65536                  63.58
131072                 85.32
262144                127.47
524288                178.11
1048576               289.82
 
running ring w/ n=8 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     974.10
8                    1010.00
16                   1004.52
32                   1007.90
64                   1019.86
128                  1057.14
256                  1130.09
512                  1263.24
1024                 1466.49
2048                 1466.94
4096                 1646.08
8192                 1649.13
16384                1722.55
32768                1707.72
65536                1741.27
131072               3327.19
262144               3436.37
524288               3620.00
1048576              3943.48
 
running recursive_doubling w/ n=8 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.03
8                      23.28
16                     23.43
32                     23.34
64                     23.55
128                    25.12
256                    29.26
512                    30.91
1024                   33.35
2048                   36.21
4096                   42.13
8192                   67.10
16384                 114.36
32768                 166.04
65536                 300.35
131072                513.77
262144                999.78
524288               2242.68
1048576              3891.09
 
running reduce_scatter_allgather w/ n=8 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.26
8                      23.33
16                     23.41
32                     23.45
64                     23.74
128                    24.94
256                    29.29
512                    31.05
1024                   49.56
2048                   49.08
4096                   54.85
8192                   67.66
16384                  89.15
32768                 109.93
65536                 202.91
131072                307.93
262144                440.89
524288                750.99
1048576              1139.74
 
running circ_vring w/ n=8 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.70
8                      25.81
16                     26.25
32                     25.65
64                     25.96
128                    27.26
256                    35.03
512                    35.95
1024                   37.38
2048                   41.22
4096                   48.06
8192                   82.33
16384                 131.88
32768                 194.20
65536                 276.79
131072               1345.75
262144               2685.30
524288               5584.34
1048576             12053.35
 
running circ_rrs_ag w/ n=8 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      37.33
8                      38.99
16                     41.87
32                     44.06
64                     47.32
128                    52.75
256                    61.47
512                    71.09
1024                  115.51
2048                  206.45
4096                  147.56
8192                  122.94
16384                 133.49
32768                 152.67
65536                 185.79
131072                430.81
262144                991.89
524288               2366.49
1048576              4978.61
 
running circ_rs_ag w/ n=8 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.45
8                      37.23
16                     39.94
32                     41.62
64                     43.37
128                    46.94
256                    51.00
512                    53.36
1024                   78.55
2048                  150.62
4096                   78.30
8192                   73.95
16384                  85.72
32768                 100.59
65536                 133.25
131072                187.19
262144                294.52
524288                505.02
1048576               942.95
 
running ring w/ n=8 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    2204.83
8                    2249.05
16                   2250.36
32                   2249.77
64                   2259.12
128                  2286.18
256                  2364.15
512                  2530.14
1024                 2793.83
2048                 3300.36
4096                 3307.58
8192                 3678.51
16384                3675.65
32768                3902.44
65536                3876.28
131072               3904.95
262144               7293.25
524288               7628.88
1048576              8177.10
 
running recursive_doubling w/ n=8 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.61
8                      29.42
16                     29.19
32                     29.00
64                     28.83
128                    30.79
256                    35.28
512                    39.95
1024                   43.58
2048                   46.92
4096                   58.06
8192                  102.60
16384                 214.92
32768                 323.57
65536                 691.73
131072                959.91
262144               2342.63
524288               4098.84
1048576              7324.45
 
running reduce_scatter_allgather w/ n=8 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.10
8                      29.25
16                     28.97
32                     28.76
64                     28.99
128                    30.53
256                    35.26
512                    39.52
1024                   43.15
2048                   57.93
4096                   61.45
8192                   81.11
16384                  97.58
32768                 151.63
65536                 229.67
131072                346.58
262144                810.07
524288               1108.62
1048576              1857.53
 
running circ_vring w/ n=8 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.30
8                      32.24
16                     32.05
32                     31.86
64                     31.87
128                    33.88
256                    41.57
512                    44.83
1024                   48.34
2048                   57.01
4096                   76.84
8192                  110.24
16384                 218.62
32768                 331.69
65536                 515.53
131072               3130.10
262144               6267.98
524288              13036.98
1048576             27238.52
 
running circ_rrs_ag w/ n=8 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      47.02
8                      48.83
16                     51.68
32                     54.60
64                     57.55
128                    65.80
256                    76.46
512                    93.63
1024                  174.06
2048                  436.86
4096                  389.67
8192                  237.98
16384                 254.68
32768                 282.43
65536                 355.93
131072               1010.40
262144               2134.67
524288               5254.32
1048576             11194.67
 
running circ_rs_ag w/ n=8 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      45.43
8                      45.16
16                     47.84
32                     50.64
64                     52.43
128                    57.02
256                    61.89
512                    63.82
1024                   96.62
2048                  301.16
4096                  240.95
8192                   99.51
16384                 110.19
32768                 155.33
65536                 214.22
131072                339.04
262144                599.90
524288               1153.03
1048576              2165.55
 
running ring w/ n=9 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     280.08
8                     283.30
16                    284.91
32                    293.43
64                    310.44
128                   342.31
256                   389.75
512                   388.79
1024                  427.90
2048                  461.03
4096                  461.37
8192                  474.29
16384                 476.75
32768                 908.81
65536                 930.02
131072                971.52
262144               1043.99
524288               1758.81
1048576              1976.55
 
running recursive_doubling w/ n=9 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.16
8                      18.57
16                     18.56
32                     18.59
64                     18.78
128                    20.42
256                    25.22
512                    26.87
1024                   28.69
2048                   30.09
4096                   33.45
8192                   54.42
16384                  77.44
32768                 104.46
65536                 188.57
131072                304.68
262144                566.79
524288               1116.97
1048576              2089.57
 
running reduce_scatter_allgather w/ n=9 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.17
8                      18.59
16                     18.64
32                     18.60
64                     18.74
128                    20.56
256                    35.72
512                    36.52
1024                   38.51
2048                   44.21
4096                   49.07
8192                   58.89
16384                  73.15
32768                  93.94
65536                 188.57
131072                252.39
262144                367.07
524288                563.46
1048576              1052.58
 
running circ_vring w/ n=9 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.94
8                      20.51
16                     20.52
32                     20.48
64                     20.66
128                    21.98
256                    30.93
512                    34.12
1024                   33.38
2048                   35.90
4096                   38.89
8192                   67.44
16384                  93.21
32768                 129.92
65536                 183.72
131072                597.48
262144               1250.30
524288               2586.18
1048576              5177.31
 
running circ_rrs_ag w/ n=9 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.80
8                      30.46
16                     33.43
32                     36.26
64                     39.03
128                    43.91
256                    49.84
512                    58.21
1024                   69.27
2048                   75.59
4096                   75.58
8192                   75.92
16384                  87.30
32768                  96.96
65536                 121.03
131072                207.98
262144                444.55
524288               1021.93
1048576              2050.30
 
running circ_rs_ag w/ n=9 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.80
8                      30.15
16                     32.78
32                     34.90
64                     36.57
128                    39.80
256                    42.41
512                    46.47
1024                   56.44
2048                   70.04
4096                   66.31
8192                   67.01
16384                  75.38
32768                  84.57
65536                 109.36
131072                133.51
262144                189.15
524288                273.91
1048576               434.80
 
running ring w/ n=9 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.33
8                      38.56
16                     43.62
32                     49.74
64                     49.83
128                    49.91
256                    50.02
512                    51.97
1024                   57.80
2048                   74.16
4096                   73.70
8192                   76.42
16384                  80.00
32768                  84.33
65536                 142.70
131072                176.05
262144                210.30
524288                366.66
1048576               641.23
 
running recursive_doubling w/ n=9 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.32
8                      13.30
16                     13.36
32                     13.34
64                     13.51
128                    14.48
256                    17.33
512                    18.09
1024                   18.74
2048                   20.18
4096                   21.76
8192                   37.78
16384                  46.40
32768                  63.17
65536                  91.35
131072                127.66
262144                202.79
524288                375.25
1048576               728.93
 
running reduce_scatter_allgather w/ n=9 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.56
8                      13.30
16                     13.39
32                     23.66
64                     23.79
128                    23.99
256                    25.65
512                    28.15
1024                   30.78
2048                   34.74
4096                   34.92
8192                   41.32
16384                  51.12
32768                  67.12
65536                  92.63
131072                137.79
262144                189.39
524288                267.02
1048576               461.78
 
running circ_vring w/ n=9 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.79
8                      14.52
16                     14.56
32                     14.63
64                     14.55
128                    16.11
256                    20.26
512                    20.70
1024                   21.59
2048                   23.28
4096                   23.90
8192                   40.29
16384                  47.74
32768                  62.20
65536                  89.91
131072                118.29
262144                228.06
524288                427.86
1048576               887.95
 
running circ_rrs_ag w/ n=9 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.16
8                      21.23
16                     26.37
32                     28.62
64                     29.06
128                    29.20
256                    29.59
512                    33.39
1024                   36.82
2048                   39.24
4096                   41.38
8192                   42.84
16384                  51.68
32768                  74.12
65536                  90.35
131072                136.43
262144                252.95
524288                554.43
1048576              1010.91
 
running circ_rs_ag w/ n=9 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      17.06
8                      20.88
16                     25.66
32                     28.18
64                     29.18
128                    29.12
256                    29.45
512                    31.89
1024                   35.34
2048                   40.03
4096                   40.41
8192                   41.49
16384                  50.26
32768                  61.64
65536                  83.36
131072                110.25
262144                138.10
524288                195.01
1048576               309.63
 
running ring w/ n=9 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1102.05
8                    1136.62
16                   1130.89
32                   1132.58
64                   1145.28
128                  1185.30
256                  1256.34
512                  1387.74
1024                 1599.64
2048                 1601.24
4096                 1764.45
8192                 1913.35
16384                1912.43
32768                1966.19
65536                1973.08
131072               3739.03
262144               3833.44
524288               4028.16
1048576              4472.86
 
running recursive_doubling w/ n=9 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.97
8                      24.08
16                     24.28
32                     23.99
64                     24.49
128                    25.75
256                    30.09
512                    31.87
1024                   34.16
2048                   37.57
4096                   42.68
8192                   67.62
16384                 115.47
32768                 169.19
65536                 303.93
131072                521.56
262144               1047.25
524288               2294.01
1048576              3916.15
 
running reduce_scatter_allgather w/ n=9 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      24.90
8                      23.83
16                     24.20
32                     23.90
64                     24.16
128                    25.64
256                    30.18
512                    32.04
1024                   46.81
2048                   52.13
4096                   54.87
8192                   71.08
16384                  92.09
32768                 149.27
65536                 210.00
131072                357.26
262144                468.69
524288                735.21
1048576              1280.08
 
running circ_vring w/ n=9 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      28.03
8                      27.11
16                     27.32
32                     27.25
64                     27.20
128                    28.65
256                    40.97
512                    42.06
1024                   42.10
2048                   45.76
4096                   51.18
8192                   90.27
16384                 141.96
32768                 203.85
65536                 303.32
131072               1243.70
262144               2505.34
524288               5266.51
1048576             11365.30
 
running circ_rrs_ag w/ n=9 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.80
8                      41.35
16                     43.48
32                     45.87
64                     49.04
128                    55.77
256                    64.66
512                    82.01
1024                  125.98
2048                  199.13
4096                  161.93
8192                  137.30
16384                 148.06
32768                 166.56
65536                 200.80
131072                466.51
262144               1001.30
524288               2369.89
1048576              4915.11
 
running circ_rs_ag w/ n=9 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.18
8                      39.87
16                     42.04
32                     43.34
64                     45.81
128                    49.39
256                    55.13
512                    65.32
1024                   87.50
2048                  139.73
4096                  111.00
8192                   92.47
16384                  93.66
32768                 112.46
65536                 146.95
131072                191.50
262144                307.58
524288                513.31
1048576               939.40
 
running ring w/ n=9 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    2469.50
8                    2514.16
16                   2495.80
32                   2503.57
64                   2519.14
128                  2560.89
256                  2643.50
512                  2801.02
1024                 3103.13
2048                 3580.79
4096                 3589.07
8192                 3947.69
16384                4261.72
32768                4292.90
65536                4423.53
131072               4447.07
262144              13117.04
524288              13514.84
1048576             13992.71
 
running recursive_doubling w/ n=9 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.40
8                      35.64
